     ____
    / _  |   Frida 17.17.0 - A world-class dynamic instrumentation toolkit
   | (_| |
    > _  |   Commands:
   /_/ |_|       help      -> Displays the help system
   . . . .       object?   -> Display information about 'object'
   . . . .       exit/quit -> Exit
   . . . .
   . . . .   Prefer a GUI? Luma is the official Frida app, with a live REPL,
   . . . .   persistent sessions & collaboration. https://luma.frida.re/
   . . . .
   . . . .   Connected to iPhone (id=00008150-00093DA00ABB401C)
Spawning `com.oceanwing.SoundCore.G8AW4BQ7RV`...

==================== PROCESS ====================
frida       : 17.17.0
pid / arch  : 6592 / arm64
page size   : 16384
objc avail  : true

==================== MODULES OF INTEREST ====================
    NTPBNetworkSession
    NTPBNetworkSessionList
    NTPBPublisherWebAccessOptInRequest
    NTPBPushNotifySubscriptionRequest
    NTPBSmarterFetchRequest
    NTPBTelemetryNetworkEvent
    NTPBTelemetryNetworkEventGroup
    NTPBTodayModuleContentRequest
    NTPBViewArticleRequest
    NTPBWrappingKeyRequest
    NUAuxiliaryImageRenderRequest
    NUAuxiliaryPropertiesRequest
    NUBufferRenderRequest
    NUClassifyPipelineImageCorrectionRequest
    NUExportRequest
    NUFaceDetectionRequest
    NUGeometryRequest
    NUHistogramRenderRequest
    NUImageBufferRenderRequest
    NUImageDataRequest
    NUImageExportRequest
    NUImagePropertiesRequest
    NUImageRenderRequest
    NULivePhotoRenderRequest
    NURedEyeDetectionRequest
    NURenderRequest
    NUSurfaceRenderRequest
    NUTokenPattern
    NUVideoAttributesRequest
    NUVideoExportRequest
    NUVideoPlaybackFrameRequest
    NUVideoPropertiesRequest
    NUVideoRenderRequest
    NUVisionDetectionRequest
    NUVisionForegroundIsolationSegmentationRequest
    NUVisionInstanceSegmentationRequest
    NUVisionSegmentationRequest
    NWConcrete_nw_connection_group_send_request
    NWConcrete_nw_read_request
    NWConcrete_nw_unique_connection_request
    NWConcrete_nw_write_request
    NWConcrete_nw_ws_ping_request
    NWConcrete_nw_ws_request
    NWGenericNetworkAgent
    NWNetworkAdviceUpdate
    NWNetworkAgentRegistration
    NWNetworkAgentSession
    NWNetworkDescription
    NWNetworkOfInterest
    NWNetworkOfInterestClientProxy
    NWNetworkOfInterestManager
    NWNetworkPredictions
    NWRemoteConnectionWriteRequest
    NWURLSessionMultipartHeaderRecognizer
    NWURLSessionReadRequest
    NWURLSessionRequestBodyData
    NWURLSessionRequestBodyFile
    NWURLSessionRequestBodyInfo
    NWURLSessionRequestBodyStream
    Navigation.CommuteRouteRequestParameters
    Network.Ack
    Network.BufferManager
    Network.Crypto
    Network.DefaultManyToManyProtocol
    Network.DefaultOneToOneProtocol
    Network.ECNCounters
    Network.Endpoint
    Network.EndpointParent
    Network.FlowControl
    Network.FlowControlConnection
    Network.FlowControlStream
    Network.FrameArrayEntry
    Network.ImmutableParametersStorage
    Network.InputHarnessProtocol
    Network.Internal
    Network.ListenerHarnessProtocol
    Network.MigrationController
    Network.MutableParametersStorage
    Network.NWActivity
    Network.NWActorSystem
    Network.NWApplicationServiceGroup
    Network.NWArray
    Network.NWBrowser
    Network.NWConnectionGroup
    Network.NWEthernetChannel
    Network.NWFile1
    Network.NWMulticastGroup
    Network.NWMultiplexGroup
    Network.NWProtocolFramer
    Network.NWProtocolHTTP
    Network.NWProtocolHTTPEncoding
    Network.NWProtocolQUIC
    Network.NWProtocolQUICConnection
    Network.NWProtocolQUICStream
    Network.NWProtocolWebSocket
    Network.NetworkAgentCache
    Network.NetworkContext
    Network.NetworkStorage
    Network.OutputHarnessProtocol
    Network.OutputQueue
    Network.PMTUD
    Network.PacketBuilder
    Network.PacketContainerEntry
    Network.Parameters1
    Network.ParametersStorage
    Network.Preferences
    Network.Protector
    Network.ProtocolStack
    Network.QUICConnectionImplementation
    Network.QUICDatagramFlow
    Network.QUICPath
    Network.QUICStreamInstance
    Network.ReassemblyQueue
    Network.Recovery
    Network.SystemSocket
    Network.TLVFramer
    Network.Timer
    Network.TimerDispatchBackend
    Network.WeakDistributedActor
    Network.WireProtocol
    Network._NWConnection
    Network._NWListener
    Network._NWParameters
    Network._NWPathMonitor
    Network._NWProtocol
    Network._NWProtocolDefinition
    Network._NWProtocolIP
    Network._NWProtocolMetadata
    Network._NWProtocolOptions
    Network._NWProtocolTCP
    Network._NWProtocolTLS
    Network._NWProtocolUDP
    Network.__InputHandlerLinkage
    Network.__NWInterface
    Network.__NWPath
    Network.__NWPathFlow
    Network.__NWPathParameters
    Network.__NWProtocolIdentifier
    Network.__NWProtocolTransform
    Network.__OutputHandlerLinkage
    NetworkAttachmentAnalytics
    NetworkChangeNotifier
    NetworkCursor
    NetworkExtension.NEAppExtensionConfiguration
    NetworkExtension.NEExtensionBaseProviderHostExportedObject
    NetworkExtension.NEHotspotAuthenticationProviderConfiguration
    NetworkExtension.NEHotspotAuthenticationProviderHostExportedObject
    NetworkExtension.NEHotspotEvaluationProviderConfiguration
    NetworkExtension.NEHotspotEvaluationProviderHostExportedObject
    NetworkExtension.NEHotspotManager
    NetworkExtension.NEURLFilterControlProviderConfiguration
    NetworkExtension.NEURLFilterControlProviderHostExportedObject
    NetworkExtension.NEURLFilterManager
    NetworkPerformanceFeed
    NetworkUtils
    NewsCore.InterestToken
    NewsCore.MyArticlesRequestFactory
    NewsCore.PingBasedOnlineNetworkTransitionOperation
    NewsCore.PrivateZoneCipher
    NewsCore.SmarterFetchRequestFactory
    OAHMAC_SHA1Signer
    OAPlainTextSigner
    OAURLRequestSigner
    OBHeaderAccessoryButton
    OBHeaderView
    OBSetupAssistantMultitaskingHeaderView
    OBTableHeaderFooterView
    OBTemplateHeaderDetailLabel
    ODDSiriSchemaODDMANetworkAccessTypes
    ODDSiriSchemaODDRequestsWithoutAssetsCounts
    ODDSiriSchemaODDRequestsWithoutAssetsDigest
    ODDSiriSchemaODDRequestsWithoutAssetsDigestReported
    ODDSiriSchemaODDRequestsWithoutAssetsDimensions
    ODMSiriSchemaODMSiriRequestCounts
    ODSAMPLESiriSchemaODSAMPLESpeakerIdSampleToRequestMap
    OIDAuthorizationRequest
    OIDEndSessionRequest
    OIDIDToken
    OIDRegistrationRequest
    OIDTokenRequest
    OIDTokenResponse
    OIDTokenUtilities
    OPTTSMutableStartTextToSpeechStreamingRequest
    OPTTSMutableStartTextToSpeechStreamingRequest_ContextInfoEntry
    OPTTSMutableTTSRequestFeatureFlags
    OPTTSMutableTextToSpeechRequest
    OPTTSMutableTextToSpeechRequestContext
    OPTTSMutableTextToSpeechRequestDebug
    OPTTSMutableTextToSpeechRequestDevConfig
    OPTTSMutableTextToSpeechRequestExperiment
    OPTTSMutableTextToSpeechRequestMeta
    OPTTSMutableTextToSpeechRequestProsodyControlConfig
    OPTTSMutableTextToSpeechRequestProsodyTransferConfig
    OPTTSMutableTextToSpeechRequest_ContextInfoEntry
    OPTTSMutableTextToSpeechRouterStreamingStreamingRequest
    OPTTSStartTextToSpeechStreamingRequest
    OPTTSStartTextToSpeechStreamingRequest_ContextInfoEntry
    OPTTSTTSRequestFeatureFlags
    OPTTSTextToSpeechRequest
    OPTTSTextToSpeechRequestContext
    OPTTSTextToSpeechRequestDebug
    OPTTSTextToSpeechRequestDevConfig
    OPTTSTextToSpeechRequestExperiment
    OPTTSTextToSpeechRequestMeta
    OPTTSTextToSpeechRequestProsodyControlConfig
    OPTTSTextToSpeechRequestProsodyTransferConfig
    OPTTSTextToSpeechRequest_ContextInfoEntry
    OPTTSTextToSpeechRouterStreamingStreamingRequest
    ORCHSchemaORCHCDMRequestEnded
    ORCHSchemaORCHCDMRequestFailed
    ORCHSchemaORCHCDMRequestStarted
    ORCHSchemaORCHCandidateRequestCancelled
    ORCHSchemaORCHCandidateRequestContext
    ORCHSchemaORCHCandidateRequestStarted
    ORCHSchemaORCHExecuteOnRemoteRequestContext
    ORCHSchemaORCHExecuteOnRemoteRequestEnded
    ORCHSchemaORCHExecuteOnRemoteRequestFailed
    ORCHSchemaORCHExecuteOnRemoteRequestStarted
    ORCHSchemaORCHExecutionRequestReceived
    ORCHSchemaORCHIdentityBridgeRequestContext
    ORCHSchemaORCHIdentityBridgeRequestEnded
    ORCHSchemaORCHIdentityBridgeRequestStarted
    ORCHSchemaORCHIntelligenceFlowRequestContext
    ORCHSchemaORCHIntelligenceFlowRequestEnded
    ORCHSchemaORCHIntelligenceFlowRequestFailed
    ORCHSchemaORCHIntelligenceFlowRequestStarted
    ORCHSchemaORCHIntelligenceFlowSubRequestFallback
    ORCHSchemaORCHMUXRequestEnded
    ORCHSchemaORCHMUXRequestStarted
    ORCHSchemaORCHPommesRequestEnded
    ORCHSchemaORCHPommesRequestFailed
    ORCHSchemaORCHPommesRequestStarted
    ORCHSchemaORCHPommesRequestUnableToHandle
    ORCHSchemaORCHRequestCancelled
    ORCHSchemaORCHRequestContext
    ORCHSchemaORCHRequestEnded
    ORCHSchemaORCHRequestFailed
    ORCHSchemaORCHRequestMitigated
    ORCHSchemaORCHRequestStarted
    ORCHSchemaORCHSubRequestContext
    ORCHSchemaORCHSubRequestEnded
    ORCHSchemaORCHSubRequestFailed
    ORCHSchemaORCHSubRequestStarted
    OSActivitySignpostEvent
    OSLogEntrySignpost
    OTABasePacketModel
    OTAFile
    OTAFilePartManager
    OTAFirmwarePartManager
    OTAIndicateUpdateRequestModel
    OTAIndicateUpdateResponseModel
    OTAManager
    OTAModule
    OTAPresenter
    OTARequestAbortModel
    OTARequestDataModel
    OTARequestUpdateModel
    OTARequestVersionModel
    OTAResponseAbortModel
    OTAResponseDataModel
    OTAResponseErrorModel
    OTAResponseReadyIndicateModel
    OTAResponseVersionModel
    OTASettingsModel
    OTAShake
    OTAStatus
    OTATaskingAgentClient
    OTAUpdatePart
    OTAUpdater
    OTAVersion
    OTAccountSettings
    OTApplicantToSponsorRound2M1
    OTEscrowMoveRequestContext
    OspreyChannelRequestOptions
    OspreyMutableRequest
    OspreyRequest
    OverrideMountPathRequest
    PACancellableToken
    PAL.HMAC
    PALazyAuditTokenBasedClientIdentity
    PARCardRequest
    PARFlightSearchRequest
    PARLookupRequest
    PARMoreResultsRequest
    PARRequest
    PARSafariSummarizationPrefetchRequest
    PARSafariSummarizationSummarizeRequest
    PARSearchReplayRequest
    PARSearchRequest
    PARTopicRequest
    PARZeroKeywordRequest
    PAXPCActivityCancellationToken
    PBDataTransferRequest
    PBLoadRequestContext
    PBRequest
    PBSessionRequester
    PBUIWallpaperEffectImageRequestAction
    PBUIWallpaperEffectImageRequestActionIOSurfaceResponse
    PBUIWallpaperEffectImageRequestActionImageURLResponse
    PBUIWallpaperEffectImageRequestActionResponse
    PBUIWallpaperImageSlotRequestAction
    PCCRequest
    PDAssertionRequest
    PDFAKAnnotationAdaptor
    PDFAKAnnotationAdaptorPrivate
    PDFAKAnnotationSerializationHelper
    PDFAnnotation
    PDFAnnotationCGPDFObject
    PDFAnnotationChange
    PDFAnnotationChangePrivate
    PDFAnnotationDrawing
    PDFAnnotationEditMenuConfiguration
    PDFAnnotationElement
    PDFAnnotationFreeText
    PDFAnnotationFreeTextPrivateVars
    PDFAnnotationPKDrawing
    PDFAnnotationPointerTrackingView
    PDFKitSignatureView
    PDFPageLayerAnnotationEffect
    PDFPageLayerMarkupAnnotationEffect
    PDFPageViewAnnotationController
    PDFPageViewAnnotationControllerPrivate
    PDRSignposts
    PEGASUSSchemaPEGASUSAudioPlaybackSignal
    PEGASUSSchemaPEGASUSRequestContext
    PEGASUSSchemaPEGASUSRequestEnded
    PEGASUSSchemaPEGASUSRequestEndedTier1
    PEGASUSSchemaPEGASUSRequestFailed
    PEGASUSSchemaPEGASUSRequestStarted
    PFCoalescerActivityToken
    PFExportGIFRequest
    PFLivePhotoFrameProcessingRequest
    PFParallaxAssetRequestOptions
    PFTokenBucket
    PGSchemaPGOverridesRequestContext
    PGSchemaPGPrescribedPlanRequestContext
    PGSchemaPGRequestContext
    PGSchemaPGRequestEnded
    PGSchemaPGRequestFailed
    PGSchemaPGRequestStarted
    PHAdjustmentDataRequest
    PHAdjustmentDataRequestBehaviorSpec
    PHAdjustmentDataRequestContext
    PHAnimatedImageRequestOptions
    PHAssetChangeRequest
    PHAssetCollectionChangeRequest
    PHAssetCommentCreationRequest
    PHAssetCreationRequest
    PHAssetCreationRequestBridge
    PHAssetCreationRequestPlaceholderSupport
    PHAssetCreationRequestPlaceholderSupportCrashRecovery
    PHAssetDeleteRequest
    PHAssetExportRequest
    PHAssetExportRequestOptions
    PHAssetResourceRequest
    PHAssetResourceRequestOptions
    PHAssetResourceUploadJobChangeRequest
    PHAssetResourceUploadJobConfigurationChangeRequest
    PHAssetResourceUploadJobConfigurationDeleteRequest
    PHAssetResourceUploadJobDeleteRequest
    PHAssetResourceWriteRequest
    PHChangeRequest
    PHChangeRequestHelper
    PHCloudFeedEntryChangeRequest
    PHCloudSharedAlbumChangeRequest
    PHCloudSharedAlbumDeleteRequest
    PHCloudSharedAssetExportRequest
    PHCollectionDeleteRequest
    PHCollectionListChangeRequest
    PHCollectionShareChangeRequest
    PHCollectionShareDeleteRequest
    PHContentEditingInputRequestContext
    PHContentEditingInputRequestOptions
    PHContentEditingOutputRequestOptions
    PHCreationRequestOptions
    PHFaceChangeRequest
    PHFaceCropChangeRequest
    PHFaceCropDeleteRequest
    PHFaceDeleteRequest
    PHFaceGroupChangeRequest
    PHFaceGroupDeleteRequest
    PHImageDecoderAsyncDecodeRequestHandle
    PHImageManagerRequestTracer
    PHImageRequest
    PHImageRequestBehaviorSpec
    PHImageRequestContext
    PHImageRequestOptions
    PHImageResourceChooserRequestInfo
    PHImportAssetDataRequest
    PHImportAssetMetadataRequest
    PHImportAssetThumbnailDataRequest
    PHInternalAssetExportRequest
    PHKeywordChangeRequest
    PHKeywordDeleteRequest
    PHLibraryScopeChangeRequest
    PHLibraryScopeDeleteRequest
    PHLivePhotoRequestContext
    PHLivePhotoRequestOptions
    PHLiveRenderEditingInputRequestContext
    PHMediaFormatAssetBundleConversionRequest
    PHMediaFormatChainedConversionRequest
    PHMediaFormatConversionCompositeRequest
    PHMediaFormatConversionRequest
    PHMediaFormatLivePhotoBundleConversionRequest
    PHMediaFormatLivePhotoConversionRequest
    PHMediaRequest
    PHMediaRequestContext
    PHMediaResourceRequest
    PHMemoryChangeRequest
    PHMemoryDeleteRequest
    PHMomentChangeRequest
    PHMomentShareChangeRequest
    PHMomentShareDeleteRequest
    PHMomentThemeAssignment
    PHObjectDeleteRequest
    PHPerformChangesRequest
    PHPersistentChangeFetchRequest
    PHPersistentChangeToken
    PHPersonChangeRequest
    PHPersonDeleteRequest
    PHPhotoLibraryAttributesChangeRequest
    PHPhotosHighlightChangeRequest
    PHPhotosHighlightDeleteRequest
    PHProgressContainerForRetryableRequest
    PHProjectChangeRequest
    PHQuestionChangeRequest
    PHQuestionDeleteRequest
    PHRelationshipChangeRequestHelper
    PHRepairRequest
    PHResourceLocalAvailabilityRequest
    PHResourceLocalAvailabilityRequestOptions
    PHSearchEntityChangeRequest
    PHSearchEntityCreationRequest
    PHSearchEntityDeleteRequest
    PHSearchQueryAnnotation
    PHSearchQueryQUToken
    PHServerResourceRequestRunner
    PHShareAssetChangeRequestHelper
    PHShareParticipantChangeRequest
    PHShareParticipantDeleteRequest
    PHShareParticipantRelationshipChangeRequestHelper
    PHSingleMediaRequestContext
    PHSmartAlbumChangeRequest
    PHSocialGroupChangeRequest
    PHSocialGroupDeleteRequest
    PHSuggestionChangeRequest
    PHSuggestionDeleteRequest
    PHTrashableObjectDeleteRequest
    PHVideoRequest
    PHVideoRequestBehaviorSpec
    PHVideoRequestContext
    PHVideoRequestOptions
    PHVideoXPCRequest
    PIAutoLoopAnalysisRequest
    PIAutoLoopExportRequest
    PIDisparitySampleRequest
    PILongExposureRegistrationRequest
    PIParallaxClockLayoutRequest
    PIParallaxClockMaterialRequest
    PIParallaxColorAnalysisRequest
    PIParallaxCompoundLayerStackRequest
    PIParallaxInactiveStyleLearnRequest
    PIParallaxInfillRequest
    PIParallaxLayerStackRequest
    PIParallaxSpatialAnalysisRequest
    PIPosterInactiveFrameLayoutRequest
    PIPosterLayoutPropertiesRequest
    PIPosterLayoutRequest
    PISensitiveContentAnalysisRequest
    PISliderNetAdjustmentsRequest
    PISliderNetBaseRequest
    PISliderNetLiftRequest
    PITapToTrackRequest
    PIVideoStabilizeRequest
    PKAMPCardInfoForMerchantRequest
    PKAccountAttestationRequest
    PKAccountServiceTransferRequest
    PKAccountWebServiceAccountActionRequest
    PKAccountWebServiceAccountDeleteRequest
    PKAccountWebServiceAccountRequest
    PKAccountWebServiceAccountTransactionAnswerRequest
    PKAccountWebServiceAccountUpdateUserInfoRequest
    PKAccountWebServiceAccountUserInfoRequest
    PKAccountWebServiceAccountUsersRequest
    PKAccountWebServiceAccountsRequest
    PKAccountWebServiceAddFundingSourceRequest
    PKAccountWebServiceApplePayTrustRequest
    PKAccountWebServiceAuthenticationTokenRequest
    PKAccountWebServiceAuthenticationTokenResponse
    PKAccountWebServiceBalanceHistoryRequest
    PKAccountWebServiceBankLookupRequest
    PKAccountWebServiceCancelPaymentRequest
    PKAccountWebServiceCertificatesRequest
    PKAccountWebServiceCreateVirtualCardRequest
    PKAccountWebServiceCreatedZoneRequest
    PKAccountWebServiceCreditRecoveryPaymentPlansRequest
    PKAccountWebServiceDailyCashEligibilityRequest
    PKAccountWebServiceDeleteAccountUserRequest
    PKAccountWebServiceDeleteBeneficiaryRequest
    PKAccountWebServiceDeleteFundingSourceRequest
    PKAccountWebServiceDocumentActionRequest
    PKAccountWebServiceDocumentRequest
    PKAccountWebServiceEnhancedMerchantsRequest
    PKAccountWebServiceExportTransactionDataRequest
    PKAccountWebServiceFundingSourcesRequest
    PKAccountWebServiceGenerateTopUpTokenRequest
    PKAccountWebServiceGenerateTopUpTokenResponse
    PKAccountWebServiceInstallmentAuthorizationRequest
    PKAccountWebServiceInstallmentBindRequest
    PKAccountWebServicePaginatedRequest
    PKAccountWebServicePassDetailsRequest
    PKAccountWebServicePaymentsRequest
    PKAccountWebServicePhysicalCardActionRequest
    PKAccountWebServicePhysicalCardsRequest
    PKAccountWebServicePromotionsRequest
    PKAccountWebServiceReportDeviceEventRequest
    PKAccountWebServiceReportRequest
    PKAccountWebServiceRequest
    PKAccountWebServiceRequestPhysicalCardRequest
    PKAccountWebServiceRequestPhysicalCardResponse
    PKAccountWebServiceResolveStorefrontCountryMismatchRequest
    PKAccountWebServiceSchedulePaymentRequest
    PKAccountWebServiceScheduleTransferRequest
    PKAccountWebServiceSharedAccountCloudStoreRequest
    PKAccountWebServiceStatementsRequest
    PKAccountWebServiceSupportTopicsRequest
    PKAccountWebServiceTermsDataRequest
    PKAccountWebServiceTermsRequest
    PKAccountWebServiceTransferEligibilityRequest
    PKAccountWebServiceTransfersRequest
    PKAccountWebServiceUpdateAccountUserPreferencesRequest
    PKAccountWebServiceVirtualCardLegacyCredentialsRequest
    PKAccountWebServiceVirtualCardListRequest
    PKAccountWebServiceVirtualCardManageRequest
    PKAccountWebServiceVirtualCardSecurityCodeActivityRequest
    PKAccountWebserviceCustomizePhysicalCardRequest
    PKAddPaymentPassRequest
    PKAddPaymentPassRequestConfiguration
    PKAddressSearchRequest
    PKAppleBalanceInStoreTopUpToken
    PKApplePayTrustKeyRequest
    PKApplePayTrustRegistrationRequest
    PKApplePayTrustSignature
    PKApplePayTrustSignatureRequest
    PKAppletSubcredentialAccountAttestationRequest
    PKAppletSubcredentialSharingInvitationRequest
    PKAppletSubcredentialSharingRequest
    PKApplicationAuthorizationHandleRequest
    PKApplicationAuthorizationHandleRequest_Physical
    PKApplicationAuthorizationHandleRequest_Virtual
    PKApplicationMessageRequest
    PKApplyWebServiceApplicationDeleteRequest
    PKApplyWebServiceApplicationsRequest
    PKApplyWebServiceApplyRequest
    PKApplyWebServiceAugmentedProductRequest
    PKApplyWebServiceCreateRequest
    PKApplyWebServiceDocumentSubmissionRequest
    PKApplyWebServiceFeatureTermsDataRequest
    PKApplyWebServiceRequest
    PKApplyWebServiceRequestAuthenticationContext
    PKApplyWebServiceShownTermsRequest
    PKApplyWebServiceTermsDataRequest
    PKApplyWebServiceTermsRequest
    PKApplyWebServiceVerificationResendRequest
    PKApplyWebServiceVerificationSubmissionRequest
    PKAutomaticReloadPaymentRequest
    PKAutomaticReloadPaymentRequestValidator
    PKAuxiliaryCapabilityFetchBarcodeRequest
    PKAuxiliaryCapabilityKeyCreationMetadataRequest
    PKAuxiliaryCapabilityKeyCreationMetadataRequestCapabilityState
    PKAuxiliaryCapabilityRegisterRequest
    PKAuxiliaryCapabilityRegistrationStateRequest
    PKAuxiliaryCapabilityWebServiceRequest
    PKBannerHandleRequest
    PKBarcodeEventConfigurationRequest
    PKBarcodeEventMetadataRequest
    PKBarcodeEventSignatureRequest
    PKBarcodeEventSignatureResponse
    PKCloudRecordPendingRequest
    PKCloudStoreZoneInvitationRequest
    PKContactInformationRequest
    PKDeferredPaymentRequest
    PKDeferredPaymentRequestValidator
    PKDeleteMerchantTokenRequest
    PKDisbursementPaymentRequest
    PKDisbursementPaymentRequestValidator
    PKDisbursementRequest
    PKDocumentRequest
    PKEngagementBatchPropertyRequest
    PKEngagementPropertyRequest
    PKExistingCardAuthorizationDiscoveryRequestMessage
    PKExistingCardAuthorizationRequestCarKeyGroup
    PKExistingCardAuthorizationRequestDestinationDeviceSignature
    PKExistingCardAuthorizationRequestEntry
    PKExistingCardAuthorizationRequestGroup
    PKExistingCardAuthorizationRequestMessage
    PKExistingCardAuthorizationRequestPaymentCardGroup
    PKExpressTransactionBannerHandleRequest
    PKExtensionRequestHandler
    PKFaceIDBannerHandleRequest
    PKHMAccessory
    PKISO18013DataReleaseRequest
    PKIdentityRequest
    PKInAppPaymentSessionAuthorizationRequest
    PKLaunchRequest
    PKMathRecognitionToken
    PKMathRecognitionTokenView
    PKMerchantLookupRequest
    PKMerchantToken
    PKMerchantTokenDemoData
    PKMerchantTokenUsageMetadata
    PKOverlayableWebServiceRequest
    PKPassAnnotations
    PKPassAuxiliaryCapabilitySignatureAliroHomeKeyCreationMetadata
    PKPassAuxiliaryCapabilitySignatureAliroHydraKeyCreationMetadata
    PKPassAuxiliaryCapabilitySignatureCarConnectivityConsortiumKeyCreationMetadata
    PKPassAuxiliaryCapabilitySignatureFidoKeyCreationMetadata
    PKPassAuxiliaryCapabilitySignatureIdentityAccountKeyCreationMetadata
    PKPassAuxiliaryCapabilitySignatureUnifiedAccessHomeKeyCreationMetadata
    PKPassAuxiliaryCapabilitySignatureUnifiedAccessHydraKeyCreationMetadata
    PKPassAuxiliaryRegistrationSignatureRequirement
    PKPassOwnershipToken
    PKPassUpgradeController
    PKPassUpgradeControllerBase
    PKPassUpgradeExpressAutomaticSelectionCriteriaRequest
    PKPassUpgradePrecursorPassAction
    PKPassUpgradePrecursorPassDPANIDSignatureAction
    PKPassUpgradePrecursorPassExistingCardAuthorizationAction
    PKPassUpgradePrecursorPassGenericReprovisionAction
    PKPassUpgradePrecursorPassIssuerAppAction
    PKPassUpgradePrecursorPassProofingAction
    PKPassUpgradePrecursorPassRequest
    PKPassUpgradeRequest
    PKPaymentAugmentBaseRequest
    PKPaymentAugmentSessionRequest
    PKPaymentAuthorizationRequest
    PKPaymentAvailableDevicesRequest
    PKPaymentAvailableProductsRequest
    PKPaymentBrowseableBankAppsRequest
    PKPaymentCheckMerchantRequest
    PKPaymentCommonAvailableProductsRequest
    PKPaymentCompleteSessionRequest
    PKPaymentConfigurationRequest
    PKPaymentCreateVehicleShareRequest
    PKPaymentCredentialAccountAttestationRequest
    PKPaymentCredentialNonceRequest
    PKPaymentDeleteRequest
    PKPaymentDeprovisionRequest
    PKPaymentDeviceCheckinRequest
    PKPaymentDevicePassesRequest
    PKPaymentEligibilityRequest
    PKPaymentFetchPassLegalAgreementRequest
    PKPaymentInitiateExternalProvisioningRequest
    PKPaymentInitiateExternalProvisioningRequestDPANAuthorization
    PKPaymentIssuerProvisioningCertificatesRequest
    PKPaymentMultiTokenDataItem
    PKPaymentNetworkCardImagesManifestRequest
    PKPaymentNonceRequest
    PKPaymentNotificationActionRequest
    PKPaymentNotifyIssuerAppletDirtyRequest
    PKPaymentOfferWebServiceCatalogRequest
    PKPaymentOfferWebServiceDynamicContentRequest
    PKPaymentOfferWebServiceMerchandisingRequest
    PKPaymentOfferWebServiceRequest
    PKPaymentOfferWebServiceRewardsBalancesRequest
    PKPaymentOfferWebServiceRewardsRedemptionsRequest
    PKPaymentOffersControllerMerchandisingRequest
    PKPaymentOffersControllerRequest
    PKPaymentPassRequest
    PKPaymentPrepareToProvisionRequest
    PKPaymentPrepareTransactionDetailsRequest
    PKPaymentProductsActionRequest
    PKPaymentProvisionPrecursorPassRequest
    PKPaymentProvisioningMethodMetadataRequest
    PKPaymentProvisioningNonceRequest
    PKPaymentProvisioningRequest
    PKPaymentPushProvisioningProvideEncryptedPushProvisioningTargetRequest
    PKPaymentPushProvisioningSharingIdentifiersRequest
    PKPaymentPushProvisioningSharingStatusRequest
    PKPaymentRegisterCredentialRequest
    PKPaymentRegisterPreTrackCredentialRequest
    PKPaymentRegisterTrackCredentialRequest
    PKPaymentRegistrationRequest
    PKPaymentRemoteContentPassActionGroupRequest
    PKPaymentRemoteContentPassActionRequest
    PKPaymentRemoteCredentialsRequest
    PKPaymentRemotePassesRequest
    PKPaymentRepopulateZonesRequest
    PKPaymentRequest
    PKPaymentRequestCouponCodeUpdate
    PKPaymentRequestMerchantSessionUpdate
    PKPaymentRequestPassUpdateRequest
    PKPaymentRequestPassUpdateResponse
    PKPaymentRequestPaymentMethodUpdate
    PKPaymentRequestShippingContactUpdate
    PKPaymentRequestShippingMethodUpdate
    PKPaymentRequestSupportedQuery
    PKPaymentRequestUpdate
    PKPaymentRequestValidator
    PKPaymentRequirementsRequest
    PKPaymentRevokeSharedCredentialRequest
    PKPaymentRewrapRequest
    PKPaymentRewrapRequestBase
    PKPaymentSendOwnershipTokensRequest
    PKPaymentServiceProviderPerformActionRequest
    PKPaymentServiceProviderPerformPaymentRequest
    PKPaymentServiceProviderPurchaseRequest
    PKPaymentServiceProviderPurchasesRequest
    PKPaymentSetupFieldBuiltInTotalAssets
    PKPaymentSetupFieldBuiltInTotalAssetsPicker
    PKPaymentSetupFieldBuiltInTotalIncome
    PKPaymentSetupRequest
    PKPaymentSubmitActivationCodeRequest
    PKPaymentTapToProvisionConfigurationRequest
    PKPaymentToken
    PKPaymentTokenContext
    PKPaymentTokenContextValidator
    PKPaymentTransactionRequest
    PKPaymentTransactionRequestAmountComparison
    PKPaymentUnregisterRequest
    PKPaymentUpdateRegistrationDataRequest
    PKPaymentVehicleManufacturerRequest
    PKPaymentVerificationOptionsRequest
    PKPaymentVerificationUpdateRequest
    PKPaymentWebServicePaginatedRequest
    PKPaymentWebServiceRequest
    PKPaymentWebServiceRequestBuilder
    PKPaymentWebServiceSecureRequestBuilder
    PKPeerPaymentAcceptTermsRequest
    PKPeerPaymentAcceptableDocumentsRequest
    PKPeerPaymentAccountRequest
    PKPeerPaymentAddAssociatedAccountRequest
    PKPeerPaymentAssociatedAccountActionRequest
    PKPeerPaymentAssociatedAccountsRequest
    PKPeerPaymentBankLookupRequest
    PKPeerPaymentDocumentSubmissionRequest
    PKPeerPaymentEmailTermsAccountRequest
    PKPeerPaymentEncryptionCertificatesRequest
    PKPeerPaymentFailureDiagnosticRequest
    PKPeerPaymentIdentityVerificationRequest
    PKPeerPaymentInformalRequestToken
    PKPeerPaymentPassDetailsRequest
    PKPeerPaymentPendingRequest
    PKPeerPaymentPendingRequestPerformActionRequest
    PKPeerPaymentPendingRequestPerformActionResponse
    PKPeerPaymentPendingRequestSummary
    PKPeerPaymentPendingRequestsRequest
